User,Time,Content
Allu,11:15,It's nice
Silmavi,12:25,To know he existed
Unknown,12:26,Very warm here
Allu,12:32,My father got me when he was 24yo
Silmavi,12:33,My mother had 3kids at 24
Unknown,12:34,I hadmy first with 31
Unknown,12:35,You are young.plenty of time left
Unknown,12:35,If you still vwant kids
Allu,12:40,Propably raw
Unknown,12:43,"No wonder he was full of energy, he didn't have toxic meat and fish in his diet"
Unknown,12:43,Only hormones from milk
Silmavi,12:47,I don't understand when people choose violence in a couple instead of communication.
Unknown,12:50,I had my share of misunderstanding s but we made it.We are like dinasours now.Rare specimen.... married in 1998 and still together...and he supports me in raw carnovire...
Unknown,12:51,😂😂i must feel fine in this group sharing personal info that is not about  food.Good thing
Unknown,12:53,Milk is good for sex?
Unknown,12:59,I am mad at me because i got things in the wrong order.i Should have started with raw meat instead of raw veggies and i would have saved lots of health and time. When i was with veggies the world was pro meat and now i am pro meat and the world is pro veggies and grains.
Unknown,13:00,And doctors trying to kill us with medicines
Unknown,13:02,I don't know... thoughts come to my head
Unknown,13:03,May be is the warm weather.Too warm for winter here
Unknown,13:04,I bought mouth to try raw
Unknown,13:07,
Unknown,13:10,Yes fish
Unknown,13:11,
Unknown,13:17,
Unknown,Unknown,
Deleted Account,15:59,Is it true that Aajounis healed someone with ALS?
Unknown,16:04,Aajonus *
Unknown,16:10,Impressive
Deleted Account,16:46,Drama
Unknown,16:49,This is partly true. You may influence others' opinions with logic and evidence tho.
Unknown,16:50,"I do sungazing too. But I don't really believe in it being healthy. I do it "" for fun"""
Unknown,16:51,"Well, nothing for you to gain petsonally"
Unknown,16:51,Personally*
Unknown,16:54,My minimum is 4
Unknown,16:57,Rant time?
Unknown,17:07,Relate to what?
Unknown,17:08,"Yeah, I was that dogmatic person and maybe still am to some degree"
Unknown,17:11,Ouch...
Unknown,Unknown,
Deleted Account,19:26,I don't understand guys... I ate tons of honey and drank litres of milk and orange juice. I gain 2 kilos of weight. But since I stopped recently I'm so fast back at my stable 50kg again...
Unknown,19:30,Hmm
Unknown,19:31,Nice chemtrails bro
Unknown,19:32,That's true it's hella expensive :D
Deleted Account,19:39,I hate when people hear “sun gazing” and they assume it’s staring at the sun mid-day
Silmavi,19:41,What is sun gazing actually.I don want to get wrong info from Wikipedia
Deleted Account,19:50,It's very pleasant in the summer evenings. I usually sit on a rock for a couple of hours and stare at the sun. everybody thinks I've gone totally irreversably nuts
Allu,19:53,"Nice, I started making viili/filbunke from milk"
Unknown,19:53,Here in Finland I usually buy 16litres of milk per week
Deleted Account,19:56,"Aleksi, how do U make viili? 😮"
Allu,19:56,Put raw milk in some container in roomtemperature and add little bit of finnish store bought Viili or just very old fermented milk with it
Unknown,19:56,Now I'm trying with 1litre of raw milk+1pack of Viili
Silmavi,19:58,My husband just loves the viili we make with raw.milk.Best viili ever he says
Allu,19:58,
Unknown,19:58,All my grandparents used to make this in their homes from rawmilk
Unknown,19:58,How you make it?
Silmavi,20:00,Just put the milk in glass jar and ket it fermebt in warm dark place fir two days.I put on the radiator and gies faster.Then in fridge...my kids like it cold
Unknown,20:01,
Allu,20:02,
Unknown,20:02,I have started doing so too
Silmavi,20:02,So i don't wash it and just put more milk?
Allu,20:02,Thumb is almost 100% recovered
Silmavi,20:08,Good
Unknown,20:11,Stanby means you don't use it for fermenting?
Unknown,20:12,Meanwhile you keep it in the fridge?
Unknown,20:13,Ok!
Unknown,20:13,You don't drink raw milk cold?
Unknown,20:14,Ok
Unknown,20:15,I did that too! Good
Unknown,20:15,I am going to be milk freak😂
Unknown,20:16,Now iam eatin cold Smetana
Unknown,20:16,Fat for not to have cravings later
Unknown,20:19,Thanks to you Ring! I hope it works.Lastvtwo days were hard snd i ate bad
Unknown,Unknown,
Antón Leitón,22:30,4 days without me? 😉
Silmavi,22:33,Where were you?
Antón Leitón,22:39,"Looking directly at the sun. First day, 10sec. 10 more sec each day."
Unknown,22:40,I have gained 27kg
Silmavi,22:40,Ok
Antón Leitón,22:42,I have been trying it for 2 weks. But too much clouds in north spain at these hours
Unknown,22:44,"Primal is raw carnivore+raw dairy+raw milk, vegetable juices, a little fruit...Not only raw carnivore"
Unknown,22:45,Each day I am more in love with Aajonus
Deleted Account,22:45,Lol
Silmavi,22:45,He seemed to have saved your health
Deleted Account,22:47,"Also primal comes with a bit of a lifestyle aspect it seems, vaccines, antibiotics, plastic, EMFs, etc"
Antón Leitón,22:49,👍🏻
Unknown,22:50,"In patients with dangerous illneses, he made them eat each half and hour"
Unknown,22:51,White clay?
Unknown,22:52,30 min after a meal
Antón Leitón,23:09,"You cam add Cream, eggs or honey"
Unknown,23:11,Als?
Deleted Account,23:13,https://en.m.wikipedia.org/wiki/Amyotrophic_lateral_sclerosis
Unknown,23:13,Considered incurable by mainstream science
Antón Leitón,23:13,I am doing that for 2 months
Unknown,23:15,Thanks
Unknown,23:22,Dont forget to drink 1 glass of raw milk before going to sleepGood night!
Unknown,23:26,Wouw2 min for me
Unknown,23:26,Dont you think that milk could loose nutrients and enzymes in the fridge?
Unknown,Unknown,
Deleted Account,00:30,Eating papaya seeds for the parasites. They are pretty spicy!  Has anyone here ever done a parasite cleanse or something?
Antón Leitón,05:48,I love parasites...😂They do their job
Unknown,05:48,I have enough glass jars
Antón Leitón,09:00,That would be the second one.The first is: Raw dairy is amazing with a little honey 😉
Deleted Account,09:11,Morning
Antón Leitón,09:17,17kg 1 month gaps+ 1 month keto10 more kg in 2 month with primal diet
Unknown,09:18,More wight when I eat cooked at restaurants
Antón Leitón,09:39,😂😂😂😂😂😂😂
Unknown,09:39,🤣🤣🤣🤣🤣🤣🤣
Unknown,09:40,We are weird people
Allu,10:15,
Silmavi,10:49,😂😂😂
Silmavi,11:38,
Unknown,11:38,Does anyone follow this?
Unknown,11:40,Did you feel better?
Unknown,11:47,I try to see what kind of green juice...and as i don't have a juicer try to do it with my old Thermomix
Unknown,Unknown,
Silmavi,11:58,Just put the milk in the Machine?
Unknown,11:59,Teaspoon?
Unknown,11:59,Ok
Unknown,11:59,Then on the second batch yo use your own?
Unknown,12:00,Tastes different vfrom fermemted milk?
Deleted Account,14:04,What?
Deleted Account,14:10,i would suggest you a colonoscopy
Antón Leitón,14:53,I dont digest well kefir
Unknown,14:54,"Bad day today.Very, very tired. Pain in all bodyThirsty as hell"
Silmavi,14:56,Can it be the warm weather?
Unknown,14:56,Warm promotes detox
Deleted Account,15:05,Superstitious in my opinion. Why would the liver know on which day it should do a special clense and with everyone on the same day?
Silmavi,15:07,Is there s calendar for every organ?
Unknown,15:08,Like the hours of the night when organs do the cleaning
Deleted Account,15:08,"I don't feel anything special though, maybe a bit now since you mentioned that stuff"
Antón Leitón,15:19,
Antón Leitón,15:19,Anybody has a worm for me? 😂😂😂
Antón Leitón,15:23,
Deleted Account,15:24,The parasite I have is common in a lot of people. For some they can cause symptoms. Perhaps because they are dominating. They LOVE sugar too.
Unknown,15:25,Pretty sever.
Unknown,15:26,Severe
Unknown,15:27,"Can t poop, bloating burping all the time, rash like acne on my jawline. Even getting bloated from a bit of herbal tea or a sip of water. Bone broth and vegetable juice gave me severe pain in my jawline I remember. The symptoms are getting less now"
Unknown,15:27,When it started I vomited and was nauseous with an extreme pain in my abdominal area
Allu,15:28,"No the opposite, lot of energy today"
Deleted Account,15:29,Yeah it was upsetting because I experienced such a healthy state before that. I get really down from acne.
Unknown,15:31,"And it came out of nowhere kind of. So it doesn't seem like it was build up, but I got infected with something"
Unknown,Unknown,
Deleted Account,16:09,I was eating animal based and had some mochi and pancakes here and there. Made with raw milk butter and eggs and I put honey on them.
Unknown,16:10,Malaria pills And injections I know nothing about. I didn't get any of them when traveling or never looked to get them
Unknown,16:11,Craving raw milk kefir a lot. X_X
Silmavi,18:20,😳😳 because they always find something?
Unknown,18:21,😂😂with drugs
Yan,18:31,"dont u think theres a reasonable chance its depending on genes to a meaningful degree, some ppl doing fairly well on plants and others dont due to lacking certain enzymes, having more of others and a bunch of other stuff"
Antón Leitón,18:44,Killing all bacteria
Deleted Account,19:12,
Unknown,19:12,"So fucking good, I love this shit"
Unknown,19:13,Picked up some kefir grains from them too
Allu,20:52,depends on sausage?
Unknown,20:52,"If it's just made from intestinal, fat and muscle meat it can be very nice"
Unknown,20:53,if its smells fine eat it:)
Deleted Account,20:53,Prob fine then
Allu,20:53,smell tells it all
Deleted Account,20:53,The nose don’t lie
Unknown,20:53,Lol yep
Antón Leitón,21:24,High lever smell is awful.
Deleted Account,22:32,Eating more fiber and I am constipated even more. Fiber is a LIE
Unknown,22:32,Stopping It right away
Silmavi,22:43,
Unknown,22:43,Katsumi
Unknown,22:44,Here
Unknown,22:44,
Deleted Account,22:45,I am taking clay in the morning sometimes
Unknown,22:46,And fat helps a lot for bowel movements. Unfortunately where I am at now my options are really limited. One of my only sources is avocado at the moment
Unknown,22:46,I don't eat butter because it is all pasteurized hete
Unknown,22:47,Thanks!
Unknown,22:48,But my gut surely got worser because of the anti biotics. So it is not super surprising.
Silmavi,22:50,Take care😘
Deleted Account,22:51,Thank you I will :)
Silmavi,22:51,☠
Unknown,22:51,😷😷😷 doctors👻
Yan,22:52,good luck avoiding doctors after u been in a carcrash 😁
Deleted Account,22:52,"Only good for emergency-type situations, broken bones, things like that"
Deleted Account,22:52,They just don't understand nutrition that well or at all. I know there are doctors with good intentions yet not knowledgeable about anything other than medicine
Yan,22:52,u ll be eternally grateful they exist
Silmavi,22:52,Sometines they are helpful yes
Deleted Account,22:52,Haha yea you hate em until you need one 😅
Silmavi,22:53,I drive to get my milk
Deleted Account,22:53,I agree
Deleted Account,22:53,Generally though they’re useless at best
Silmavi,22:54,We take advantage of them when necessary
Yan,22:57,how does one that considers a vegan diet unhealthy/toxic explain highlevel athletes that kill it while on a vegan diet(outperform everyone else that does eat alot of meat etc)
Unknown,22:57,been thinking about that
Deleted Account,22:59,Professional athletes?
Yan,22:59,"i see alot of plantbashing, yet there are people crushing all “meateaters” while eat truckloads of veggies"
Unknown,22:59,yes
Unknown,22:59,like ufc fighters for example
Unknown,22:59,performing at highest level
Unknown,22:59,on vegan diet
Deleted Account,23:00,"Didn’t know that was the case, I’m not big on ufc. Guess it depends how long they’ve been vegan for."
Yan,23:00,the diaz brothers for example
Unknown,23:01,there are a bunch
Unknown,23:01,just google vegan ufc fighters
Unknown,23:02,"i just like to play devils advocate, cos as i said i believe some ppl might do better on vegan diet than carnivore diet"
Unknown,23:02,just because it suits their bodies better
Unknown,23:04,that doesnt mean anything lol
Unknown,23:04,venus williams
Unknown,23:04,vegan
Unknown,23:04,hamilton vegan
Unknown,23:04,defoe vegan
Unknown,23:05,yes full of roids
Deleted Account,23:05,Also PEDs and genetics
Yan,23:05,like everyone else in the scene
Unknown,23:07,time will tell
Unknown,23:11,"The one mistake i thought all diets i tried had in common was that imho, people start to get tunnelvision, similar to a religion where in their mind their believes are the truth and everyone else is wrong. Clearly carnivore diet works wonders for a lot of ppl no doubt, but the probability that its not optimal for a certain % of humanity seems extremely high"
Deleted Account,23:15,"What do you think about all raw animal products? Fish, eggs, ruminants, organs etc"
Yan,23:15,i would argue the same thing about animal based diet. There is no one fits all
Deleted Account,23:16,"I mean, there’s a reason the bioavailability of nutrients from animal foods is so much better, no?"
Yan,23:27,thats exactly what my vegan friend told me too lol
Unknown,23:28,regarding the “read the science yan” part
Unknown,23:28,"i obviously believe veganism isnt the way to go for myself at all, just saying everyone seems to have science on their team"
Unknown,23:30,vegans claim u should accept their science
Deleted Account,23:30,"Thing is, the carnivore group on here is actually very into high quality, organs, etc. There’s other groups where people eat basically nothing but fully cooked, grain-fed hormone antibiotic meat"
Yan,23:30,"u say they wrong , they say u wrong"
Unknown,23:30,everyone has studies to show that back their claims
Deleted Account,23:32,Didn’t most indigenous groups typically average 70% of calories from animal sources?
Unknown,23:34,It’s really just common sense to me. Go out deep in the wild and tell me how much you can sustain yourself on nothing but plants.
Unknown,23:35,"People are also nomadic, you can’t just move to a new place and start eating all the plants you don’t recognize"
Unknown,23:38,"Also domestication and breeding of fruits and vegetables, gives people an unrealistic sense of what veganism would look like in the wild"
Unknown,23:39,I don’t put all my eggs into the “scientific studies” basket. I enjoy reading them and picking them apart. But for me it’s more of a common sense thing than anything
Unknown,23:39,Oh yea and winter 😅
Antón Leitón,23:47,I think I would prefer pasteurized butter than avocado
Yan,23:50,na im reading
Antón Leitón,23:51,"First vegetarian year, I did 1 half Ironman and four 40km trail racesForth year, second vegan, I could not play with my children."
Yan,23:52,"im not saying u wrong btw, my whole point is u might not be as right as u think"
Antón Leitón,23:55,I was cold at the beach this summer. 2 t-shirts.Now it is cold outside and I am in t-shirt
Unknown,Unknown,
Deleted Account,00:09,They weren't even really vegan. Consuming fish still I think
Unknown,00:11,Why?:)
Yan,00:19,think or know
Unknown,00:20,"even if they 90% vegan, they fighting the toughest guys in the world in their weightclass lol and successfully. So it definatly has worked decent for them"
Unknown,00:25,na majority of my caloried come from animal based food
Unknown,00:26,just like playing devils advocate cos i think the whole thing is likely not as clear as night and day as its being portrayed
Deleted Account,00:28,That can apply to almost anything though
Yan,00:35,"depends on the topic but yea, when it comes to humans and health u could probably apply it almost anywhere cos its such an extremely complex field"
Unknown,00:35,and we are far from having solved it
Unknown,00:37,think the smartest thing to do is go with what feels best for you individually and always keep an open mind to admit u were wrong about sth and adjust them down the road
Unknown,00:37,"probably the reason why so many vegans are getting rekt, they been doing it since so long, would be too big of an ego blow to admit they been wrong the whole time"
Deleted Account,00:38,I think people in here generally have an open mind
Yan,00:38,that its not the holy grail
Deleted Account,05:11,It is difficult to trust anybody saying I'm strict vegan/carnivore/primal because you can't spend all day with them observing exactly what they are eatingYou can tell crowd that you are a vegan but eat meat when no one sees you.
Unknown,05:14,Especially I most suspicious about celebrities/stars/sportsman claimsThey obviously making money on every simple word spoken in public
Unknown,05:19,"This genius man said that mainstream medicine makes you fibre-dependent in inestinal health after killing your bacteria with meds and lifestyle😏Sounds mind blowing, going to test and researchThx for sharing"
Unknown,05:33,"Recently I consulted with my colleague gastroenterologist. I asked her how could I bring back acidic stomach pH after losing it during GERD medication.She was stunned 😁 with this question and asked ""why would I do that"".Indeed it is strange desire of person to restore normal physiology of his person, isn't it?"
Antón Leitón,08:46,I think that animal based is more nutritive. I prefer Enzyma and bacteria from animal that from a fruit
Unknown,08:48,"I was vegan for 1-2 years. And lost all my energy, had cold all day long, lost strentgh, weight, hair, my nails were broken, had problems in the skin, etc"
Deleted Account,09:50,I do
Silmavi,10:14,@tchret how do you make yogurt? I found my machine.Just put milk in the glass and two teaspoons of yogurt and let it 24 hours?
Silmavi,10:47,Thanks!
Unknown,10:55,Good idea!
Silmavi,12:45,Calms your stomach?  In the morning my stomach is sleeping
Unknown,12:46,Ok
Unknown,12:50,👌
Unknown,12:51,Then please share
Antón Leitón,13:50,Im going to try with clay
Unknown,13:52,"I have to buy it white, isn't it?"
Deleted Account,13:52,Yeah I was still really fit the first year vegan. Playing high level of soccer. I quit eventually because I got physically so weak.
Antón Leitón,13:58,It is expensive
Deleted Account,14:15,So you stimulating appetite with cheese?
Deleted Account,15:03,Is beef liver's copper to zinc ratio bad?
Antón Leitón,15:22,Cattier Arcilla Verde Superfina - 3 kg: Amazon.es: Bellezahttps://www.amazon.es/gp/aw/d/B004YZP19M/ref=ox_sc_act_image_1?smid=A1AT7YVPFBWXBL&psc=1
Unknown,15:22,14€ 3kg
Unknown,Unknown,
Deleted Account,17:16,Good answer 👌💪
Antón Leitón,18:42,Do you know why raw milk helps people to gain weight? Even if they are eating lots of meat and fat
Unknown,18:43,Easier to assimilate?
Yan,18:43,lol
Antón Leitón,18:55,Best than beef liver?
Unknown,18:55,Or than bone marrow?
Deleted Account,18:58,That’s what it’s made for.. growth
Unknown,Unknown,
ray,19:04,i know a guy who does that and he's gained 10kg i think
Allu,19:04,My friend Dorus has gained muscle
Deleted Account,19:05,"Guys, I gotta confess... I'm a satanist. I went to sauna which is totally unnatural!"
ray,19:07,best thing to eat after sauna? cheese and honey? whats the traditional stuff
Deleted Account,19:08,I'm eating beef liver atm
ray,19:08,damn ring. what weight did you start at?
Allu,19:08,Something that has liquid/water
Unknown,19:09,Raw milk and beef fat
ray,19:09,cool thanks aleksi
Unknown,19:10,"ah. im super skinny too, like 58kg. finally found a good source of meat, organs and fat though. milk on john's jerseys is pretty expensive though. need to find a local source"
Unknown,19:25,nah their milk doesn't taste good
Silmavi,19:28,My cowman puts iodo in the udders after milking the cow
Unknown,19:29,To make like a plug in the udder so that nothing from outside goes in...
Unknown,19:30,Is that normal?
Antón Leitón,19:55,"The more fat I eat, the more thirsty I am"
Unknown,19:56,some people recommends cheese when waking up to neutralize toxinsAnd aajonus vegetable juice.After sauna could be the same
Allu,20:32,
Unknown,20:33,Was iceswimming today
Deleted Account,20:34,I hate cold showers
Unknown,20:34,I'm a total pussy
Unknown,20:37,Ypu gotta be honest to yourself. When you're honest to yourself you can be honest to others too
Unknown,20:39,I have 15years and 10 months. Gotta make the months count
Unknown,20:41,+the 10 months
Unknown,20:42,"Ok ok, you can have it your way"
Deleted Account,20:44,At 15 my lunch was weed lol
Deleted Account,20:44,:P
Allu,20:44,Its very nice in summer
ray,20:46,"cold showers bring us closer to nature, there is almost no hot water in nature. it makes you feel good afterwards and you tolerate the cold more. when you come out of a hot shower you'll feel cold, from a cold shower you'll feel warm"
Deleted Account,20:48,right into my soul
Unknown,20:49,"a general question, who of you guys weren’t breastfeed and do you think it may be a cause of some of your problems?"
ray,20:50,"i think quick cold showers, as much as you can tolerate, maybe once a week can't be too bad. forcing yourself to spend 10 mins in cold water frequently seems extreme"
Silmavi,20:53,I used to wear socks all day long with mucusless dietwith carnivore not any more....i prefer to stay away from cold water
Unknown,20:55,Only think of it at night when i feel.my feet are balls of fire and can't sleep ....but i am too lazyvto go to the bathroom an put cold water on my feet
Unknown,20:55,My feet are on 🔥 fire sometimes😂😂🤷‍♀
Deleted Account,20:59,Nothing is black and white
Unknown,20:59,"But then again, that statement contradicts itself"
Deleted Account,21:00,Lol I’ve never thought of that
Antón Leitón,21:15,"Then, why eating meat?More expensive and difficult to digest"
ray,21:16,"if we lived in nature there is pretty much no hot water anywhere, so it's natural to experience it, even if you bathe once a month"
Deleted Account,21:34,Meats taste good
Deleted Account,21:37,I love ground beef
Deleted Account,21:37,I like ground beef too
Deleted Account,21:37,I’ve heard it’s just a lot of bad beef in the UK? That true?
Unknown,21:49,That’s weird. Not enough fat or something? I can eat ground beef much much faster than steak
Allu,21:54,When I was In uk/London I ate 50% fat groundbeef it tasted crappy quality
Unknown,21:56,From a butcher
Antón Leitón,21:57,And milk has low amount of fatWhat would be the perfect protein / fat ratio? 🤔
Silmavi,22:27,Me too
Unknown,22:28,😱
Deleted Account,22:54,But it is interesting how the north has these hot springs I think. Everything seems so perfect.
Unknown,Unknown,
Deleted Account,08:51,Every day taking min one cold shower for about 3 months
Unknown,08:55,"It is chronic stress without restoration, deep burnout of the system"
Deleted Account,09:33,Can you eat too much beef liver?
Unknown,09:42,Is that too much in the long run?
Unknown,09:44,Atleast I got 100x the rda in a few days 💪
Unknown,09:45,My body tells it wants more. Or it's just me...
Unknown,09:46,Good thing I ate 2kilos of herring too for the D3
Unknown,09:46,"Herring is cheap, like really cheap"
Unknown,09:46,I got the 2kgs for 10€
Unknown,09:49,Who? Me?
Unknown,09:49,Liver and lots of it
Unknown,09:50,That's correct
Unknown,09:57,Do that
Unknown,Unknown,
Yan,11:05,"good stuff, cheers"
Antón Leitón,11:18,Eating 8 weeks out of the fridge beef liver
Silmavi,11:20,Thanks!
Samupaha,14:59,"When I was a kid, I was taught that liver should not be eaten very often. Only once a week or so. But I can't remember the reason... I think it might have been because of too much iron."
Deleted Account,15:02,Blood is 5 times higher in iron. And you could eadily overdose on it then. I don't think it's the iron
Samupaha,15:10,Or vitamin A.
ray,15:18,maybe copper
Samupaha,15:40,I'm just eating raw liver. 😋
Unknown,15:41,First time I'm putting on some salt on it. This is sooo delicious! 🤤
Allu,18:16,@tchret is your grandfather france's first astronaut?
Antón Leitón,21:08,I eat 600g per day most days
Deleted Account,21:39,I’d probably add most other organs to that list of superfoods as well.
Unknown,Unknown,
Deleted Account,08:36,"Bought today rabbit liver, goose hearts going to try them. I expect they are not so dense in nutrients as beef ones"
Deleted Account,08:38,Rabbit liver sounds delicious
Deleted Account,08:39,I'll compare it with beef's and let all know😉
Deleted Account,09:17,And a little honey on top?Or fish eggs
Unknown,09:18,I thought you gave up it
Deleted Account,09:19,his belly is not large enough to give up yet 😄
Deleted Account,09:19,"Not exactly, but it wouldn’t be surprising to me"
Silmavi,09:19,I copy
Deleted Account,09:21,That’s how it starts 😜
Deleted Account,09:21,
Deleted Account,09:22,"I bought some earlier too hah, first honey in 2 months or so"
Deleted Account,09:24,yummy
Allu,09:25,"Vegan meal, from 100% Vegan animal"
Yan,11:05,yea they clog up
Unknown,11:06,think its fairly common / heard this frequently
Deleted Account,17:57,I ate marinated chicken wings and I'm bloated af
Silmavi,17:58,What?
Deleted Account,18:00,Mashed potato?
Silmavi,18:00,Yes you wanted time ago
Unknown,18:01,Is your toomy like  a balloon?
Deleted Account,18:01,"Gotta admit, mashed potatoes are guud, but with a ton of butter"
Unknown,18:02,Do potatoes have a lot of antinutriens?
Silmavi,18:03,Lucky you!
Unknown,18:04,"If you put fat in it ,is the same as if you put egg?"
Unknown,18:04,Thinking in spanish tortilla
Yan,18:09,"i read people saying sometimes that they get this feeling of craving meat or intestines. Sometimes i feel the same but other times i have this same feeling craving rice and potato, yet im being told they arent good for me. Anyone got an explanation for this?"
Unknown,18:11,or my body genuinely likes/does well on rice/potato
Unknown,18:12,from a logical pov it does make sense. Its the same type of craving :)
Unknown,18:12,"anyway, gonna go for a big pile of potatoes and see how i feel after"
Unknown,18:12,will report back if it was a bad decision :D
Unknown,18:24,cos i worked out alot today and im super hungry for carbs 😂
Unknown,18:24,and i wanna see if it makes mefeel bad
Silmavi,18:35,Boiled or fried potatoes?
Yan,18:35,boiled
Silmavi,18:35,If you eat them cold they loose starch
Unknown,18:35,Warm the are sticky
Unknown,18:36,They
Deleted Account,22:55,"I sinned and cooked some meat last night. Almost 700g bison ribeye that I had in the freezer. Didn’t taste that great, it was good but definitely something missing. I was hungrier after eating it than when I started"
Unknown,Unknown,
Antón Leitón,07:39,+1👆🏻
Unknown,07:40,Put them in the fridge after boiling them
Deleted Account,07:58,"it's the potato, the carb gave you a sugar drop."
Deleted Account,07:58,I wasn’t the one who ate the potato 😅 my meal was all beef
Deleted Account,07:59,lol maybe it’s the sight of the potato
Deleted Account,07:59,Lol just the thought of it was enough to change my blood sugar
Deleted Account,08:01,beef mixed with curry powder and pepper soaked in olive oil and soy sauce. international ingredient list.
Deleted Account,08:07,"I don't know why, but beef liver gives me elevated mood .Especially which started to ferment.This feeling comes from belly/gut🤔"
Unknown,08:12,"What is proper taste of fermented/high liver? Mine becomes very sour on the surface, but stays a bit sweet inside. It  9-10 days old. I just left it in fridge in metal plate, covered with glass plate with little air"
Unknown,08:12,Miraculous
Unknown,08:13,Any special recipes for fermentation of hightening meat/organs?
Deleted Account,08:14,Not that I’ve heard of
Deleted Account,08:30,As I said it only began the process but already changed taste
Silmavi,08:34,Nigtmare but not belly inflammation?
Deleted Account,08:37,"I' ve got nightmares and headache after pancakes, bread, sweet cream three weeks ago"
Unknown,08:38,Becoming extra sensitive to foods
