id,question
4438,What can happen if someone becomes too alkaline from consuming too much celery?
4438,Why might a local bee farmer choose to freeze their yields?
616,Why do you think pigs are filthy animals?
616,What makes pastured pigs acceptable to eat?
616,Why wouldn't you eat conventional pork?
616,Why do you believe cow meat is safer than pig meat?
616,What aspect of pig consumption are you confused about?
4414,When will liquid raw honey be available?
4414,What type of honey is currently available?
4414,How can I determine my specific dietary needs?
4414,Do most people require a combination of different types of meat?
4414,Is it possible to mix different types of meat in one meal?
31,What happened to the vending machines that used to give out raw milk for cheap?
31,Who is selling expensive raw milk and raw cheeses in glass?
31,Why is it important to receive milk in plastic as a fresh delivery?
31,What is the best store in Perth for buying raw milk products?
31,Is genetic expression considered superior to epigenetic expression?
2366,Is it correct that using cling film on my kefir jar can make it toxic?
2366,Has the contact between cling film and kefir made my drink too sour and acidic?
2366,"According to the guide, is it undesirable to use saran wrap with kefir?"
2366,Do you think saran wrap can alter the taste of kefir?
2366,Could the use of cling film be the reason I cannot drink the kefir now?
604,Why might a raw vegan diet not be better for detoxification compared to a cooked diet?
604,What are some foods that people have gotten E. coli from?
604,Who is Lina and what does she run?
604,Why might some bacteria or parasites be considered unsafe?
604,Why might gaining weight reduce the severity of symptoms?
192,Did Aajonus Vonderplanitz mention anything specific in his lectures about the cause or treatment of hives?
192,"What does the protocol involving cattle that was mentioned entail, and what are its expected benefits?"
192,"When referring to consuming fat as part of the protocol, what specific types of raw fat should be included?"
192,"For the purpose of safe detoxification, how should coconut cream be combined with raw animal fat?"
192,"Why do raw eggs reportedly require minimal digestive acids, and what role do bacteria and enzymes play in their digestion?"
969,Why does it work better on its own?
969,How does being predigested improve absorption?
969,Can you explain why fast absorption is beneficial?
969,Is there a limit to how much I should apply?
969,What happens if I add more after absorption?
1020,What is the benefit of taking hydration supplement powder compared to natural sources like juice?
1020,What is the name of a hydration supplement powder that is popular but isn't known in English?
1020,How do raw fats contribute to staying hydrated compared to other foods?
1020,Can milk be an effective source of hydration?
1020,Are there specific benefits to hydrating with juice over hydration supplement powders?
509,What were some of the listed benefits and downsides of semen retention according to Aajonus?
509,Why did someone think Aajonus recommended semen retention despite a contradictory statement?
509,What misconception did a user have regarding Aajonus' writings on the health website?
509,What was the influence of Aajonus' text on the topic of semen retention?
509,What was the reaction to a user spending more than a week with a fake identity?
1767,Why did Aajonus advise avoiding tap water?
1767,What is the significance of 'acid rain' in this context?
1767,How can one support their natural detox pathways?
1767,Why does the new guy appear different from Kanye?
1767,What medical reason was provided for the new guy's different sound?
846,Why did the user decide to completely cut off those who cannot stop problematic behavior?
846,What impact does the harassment campaign have on the functioning of online spaces?
846,What specific accusations were made by the problematic individuals?
846,Why is it important for members to leave Primal Life if they want to stay in the group @primaldiet?
846,What was the initial reaction of the group when the user started receiving harassment after helping?
2857,What is the penicillin destroyer formula according to the ai/recipe?
2857,Should I eat foods containing stem cells for health benefits?
2857,Is it true that foods with stem cells need to be washed and refrigerated?
2857,Can bone marrow alone regenerate white blood cells without raw fat?
2857,Is it necessary to distrust his claims about the storage of foods with stem cells?
5061,Why are you requesting additional information?
5061,What details are unclear that you need more info?
5061,What is making you hesitant about explaining this?
5061,Is there a specific reason you're explaining despite uncertainty?
5061,What more do you need to understand the subject?
3563,How do plants obtain nutrients from rocks according to the chunk?
3563,What role do animals play in the nutritional cycle involving rocks?
3563,How are minerals transformed into a form usable by humans?
3563,What is the difference between rock salt and sodium in food as mentioned in the chunk?
3563,Why does Aajonus consider rock salt to be an explosive?
1867,Does anyone live near or visit Gympie Farm in Queensland?
1867,Who thinks Tristan is trying to say they are gay together?
1867,Is anyone here currently living in Costa Rica?
1867,What personal development sources do you use if you live in Costa Rica?
1867,Is pork included in the raw primal diet?
2247,"Are there any benefits to switching from cow milk to sheep, camel, or buffalo milk besides the higher fat and protein content in sheep milk?"
2247,Why do the honey stores label all their products as raw honey when only a few types are never heated?
2247,How does the body react when it is dealing with another disease and facing a new virus invasion?
2247,What might be causing swollen polyps if it's considered a vague symptom?
2247,Which berries are allowed in the drink according to the guidelines?
3222,"Why do people in Russia often have frozen, salted, or rotten food?"
3222,How does the price of an Omega juicer compare to that of a Greenstar juicer?
3222,What are the current benefits of using Hurdle cream for skin?
3222,What challenges do people face in finding butter that ships to Buffalo/Lewiston?
3222,What are the best practices for washing berries to ensure they are clean and safe to eat?
1388,What might happen to the stem cells if you combine bone marrow with honey?
1388,How can some people further ferment bone marrow with honey?
1388,What simplified recipe version does the conversation suggest?
1388,Which ingredients are important in the simplified recipe version?
1388,Where did you find the clip related to the conversation topic?
1041,Why are you relieved about drinking without vomiting now?
1041,How are you dealing with the lack of appetite and thoughts about food?
1041,Are there any concerns about the safety of your baby?
1041,Why are you surprised about the cost of 1kg being $40?
1041,What makes you feel like you're healing or improving currently?
4314,How can temperature and humidity affect hard cheese production in Thailand?
4314,What are some effective methods to control temperature for cheese making?
4314,Why is controlling humidity important when making hard cheese?
4314,Are there any cheese makers from Thailand in this group who can offer advice?
4314,"Is there anyone experienced in PSL (Pasteurization, Storage, and Labeling) here?"
806,"Why do people notice that I have an open mouth when I sleep, even if I do not breathe with my mouth when I am awake?"
806,Should I be taking regular baths if I notice stuff developing on my skin when I skip them?
806,Can you explain how primal nutrition might differ from a standard keto diet?
806,How can I make a primal lip balm if I'm interested in creating one for light skin?
806,Is consuming a stick of butter daily a common method people use to gain weight on a primal diet?
1661,Is unvaccinated cow liver richer in nutrients than young liver?
1661,Does the statement imply that unvaccinated cow liver is not bad?
1661,Is the liver you received from a cow?
1661,Did someone give you the cow liver for free?
1661,Do you find it suspicious that the liver was given for free?
1211,What should I look out for if I see white spots on the liver?
1211,"Why should I be careful with UK potatoes, are they genetically modified?"
1211,Why do people say meat goes bad when it looks and smells fine?
1211,Does it matter if I whip cream when making butter to prevent oxidation?
1211,Is it bad to feed sugar to bees?
2356,What is the half-life of PUFAs and how does it affect recovery time?
2356,Why do indigenous peoples like the Hadza recover quickly from sprains and pulled muscles?
2356,How does being 99% plant-based for a year impact muscle recovery when compared to raw animal-based for two years?
2356,Why did I pull a back muscle doing groceries despite being 99% plant-based?
2356,How does incorporating cheese and honey into my diet help with mineral availability for rebuilding?
546,Is Gerolsteiner a good beverage choice for health?
546,Did Aajonus use specific ingredients for dishwashing?
546,Should I consult with a plumber for building a home water filter system?
546,Do you believe replicating the shower filter formula for the entire house is feasible?
546,What is the potential issue with the product listed in the Amazon link provided?
4287,What are the potential risks of feeding the eye with egg white as per Aajonus's views?
4287,"According to Aajonus, how should one specifically incorporate egg whites into eye care?"
4287,What does Aajonus consider as the primary factor influencing overall health?
4287,Why can't all approaches regarding health be posted freely in the group?
4287,Who was noted for being very active in some of the Facebook groups?
4262,What must be added daily for making a good cheese wheel?
4262,When should soft cottage cheese be combined during cheese making?
4262,How should the cheese be tied after combining in cheese making process?
4262,Where should the cheese wheel be hung for optimal results?
4262,What should be placed underneath the cheese wheel after hanging?
5598,Is it feasible to follow a primal diet without including cheese?
5598,Does the height and race discussion relate to primal health topics?
5598,Is there an argument that homemade primal shampoo isn't relevant?
5598,Has anyone else commented on the topic of homemade primal shampoo?
5598,Is the inclusion of cheese necessary for following a primal diet?
693,Is the primal diet similar to a ketogenic diet?
693,Can fasting reset taste buds according to primal health guidelines?
693,Why is fasting not recommended in the primal health approach?
693,What is the recommended frequency of meals in the primal diet?
693,What are alternatives for alkalinizing the blood when celery is unavailable?
3682,How is rock salt different from the salt found within food?
3682,Is there a specific method to achieving a wide palate and straight teeth?
3682,What additional actions should I take besides following the primal diet to develop a wide palate and straight teeth?
3682,Is pasteurized butter from non-toxic animals safe for consumption given concerns about mad cow disease?
3682,Why might bone marrow from an unknown source be better than pasteurized butter for adding to meals?
1755,Why do you think mosquitoes have been biting more since you moved to East Africa in November?
1755,How does breaking out of the 'slave matrix' relate to health?
1755,What do you mean by 'butter yourself better' in a health context?
1755,What are your thoughts on the existence of good and evil forces on earth in relation to health?
1755,How is the concept of a 'psyop' relevant to your health discussions?
2767,Did Aajonus have any specific methods for removing dog odors from the house?
2767,Does consuming high meat help in healing specific organs or organ systems?
2767,Can high liver consumption have healing effects on areas other than the liver?
2767,Is it true that consuming high meat works like a janitor by consuming dead or damaged cells?
2767,Are you of Belarusian Jewish (Ashkenazim) or Lithuanian immigrant (Baltic) descent?
3727,How many cups are recommended to drink when sunmaxxing all day?
3727,Can you recommend any good sources for raw unsalted cheese in the UK?
3727,Why do some people think eggs raise LDL cholesterol and cause allergies?
3727,At what age is most of the detoxing assumed to occur?
3727,Why might people find it unacceptable to eat little eggs or brussels sprouts?
1241,Why did the practice have a negative ROI for Jews in the end?
1241,What is your interest in learning more about scoliosis?
1241,Who is considered ignorant for suggesting the practice has benefits?
1241,Which group of doctors is claimed to say the practice is beneficial?
1241,What should someone do instead of speaking without knowledge?
1714,What is the recommended storage duration for the RFLWD coconut cream with pineapple?
1714,Is it alright to use carrot juice in the RFLWD coconut cream with pineapple formula?
1714,Can you suggest a recipe for a primal face cream?
1714,How much carrot juice can be added to the RFLWD coconut cream with pineapple?
1714,Is it normal for the RFLWD coconut cream with pineapple to taste very sweet?
1673,"What is thistle rennet, and why is it used for goat cheese?"
1673,How can thistle be mixed with cheese?
1673,Is there a specific way to prepare or use milk thistle in cheese making?
1673,What could cause a bitter taste when eating liver?
1673,Why might an oyster aftertaste occur after eating something else?
2181,Who is 'Luna' and what did she write in her YouTube comments?
2181,How does Luna's knowledge compare to Catherine's expertise?
2181,"Why might Luna hold a grudge against Belle, and is it normal?"
2181,What part does Luna claim is false?
2181,What will be better for oral health compared to fruit and vegetable juices?
529,"When will the next event mentioned take place, around a week or in a month?"
529,Is beef tallow safe to use on skin and for shaving?
529,What are the benefits of using beef tallow on skin compared to other products?
529,What is the purpose of using beef tallow according to this conversation?
529,Can you share the recipe link for primal facial body care cream?
2626,Is it advisable to eat all six pieces of cheese at once or should they be eaten separately?
2626,"Can the cheese be consumed alongside other foods like raw meat, butter, and eggs?"
2626,Does eating cheese with fat or meat have any specific benefits or drawbacks?
2626,What advice can you offer for gaining fat effectively?
2626,"Why does butter take a long time to mold in the fridge, sometimes up to 8-10 months?"
4252,How long does it typically take to make a beautiful soft cheese?
4252,What is the recommended method for storing cheese in the fridge?
4252,Is there a noted geographical misunderstanding involving Belarus?
4252,Are there benefits to choosing organic cotton over regular cotton clothing?
4252,What seasonal factor affects farm produce in Australia?
1720,Do you often eat butter with tomato and greens salad as part of your diet?
1720,Are yogurt and cheese considered vegan foods or not?
1720,Why doesn't the WAPF recommend drinking juices?
1720,Could liquid diets be effective in curing a lot of diseases?
1720,How might mixing Weston A. Price diet theory with another diet be harmful?
2617,What is the recommended amount of milkshake to consume daily for fast weight gain?
2617,Why is it suggested to leave a slight air opening when storing coconut cream?
2617,Why is raw coconut oil from the store not considered truly raw?
2617,What is the reason for storing whey for 6-7 months?
2617,What can you use as an alternative to coconut oil if you want to maintain primal eating?
3706,How often has the user consumed salty meals based on their recent eating habits?
3706,What potential causes for protein presence in urine does the user mention?
3706,What humorous observation does the user make about their nervous system?
3706,What is indicated about the digestion time for meat according to the user?
3706,What question does the user raise about the behavior of red blood cells during meat digestion?
1218,"What ingredients are suggested to blend to make a delicious drink, using honey?"
1218,Is there scientific data supporting the claim that Aajonus regained height lost from radiation therapy?
1218,Who mentioned the possibility of regaining height after radiation therapy on the spine?
1218,Did Aajonus ever discuss his views on the topic of root canals?
1218,What type of content is available in the provided YouTube link?
77,What makes Solana Gold unique compared to others?
77,Are you recommending against using Bragg’s?
77,How long have you been using Solana Gold?
77,Is Solana Gold the only brand aged and stored in wood?
77,Did you mention Bragg’s at any point?
4591,What is the process to make an apple juice turn sour in a type of glass container?
4591,"How do you make apple cider vinegar using apple juice, and can sugar be substituted with honey?"
4591,What did the advisor say about determining if honey is cooked?
4591,Are there specific symptoms to watch for after consuming allegedly cooked honey?
4591,Is it true that heated honey may cause a burning sensation in the throat?
5593,What dietary changes are suggested to get the 'right' cholesterol and ketones before a test?
5593,Why do some people perceive the diet as dangerous?
5593,Why might you experience high cholesterol and ketones with certain diets?
5593,Who do you prefer to trust for health advice instead of pharmaceutical salesmen?
5593,"Have you observed any negative side effects, like tooth loss, associated with the diet?"
2446,Is cow dung consumption beneficial for brain chemistry?
2446,Does high liver content contain E. coli?
2446,Should I start with high liver for E. coli benefits?
2446,Is consuming cow dung too much for beginners?
2446,Has anyone actually eaten cow dung for health purposes?
2836,"Why do you shave your beard, Mark?"
2836,Should you stop trying to change your nature?
2836,Why do you describe shaving as fighting your nature?
2836,Who is questioning your identity as a man?
2836,Are you suggesting Mark should let his beard grow instead of shaving?
2112,Who is Scott in relation to the Primal Diet and his book?
2112,"Is it normal for high meat to grow mold, or is it an indication of bad quality?"
2112,Where was Scott's book released for free?
2112,What is the impact of reading Aajonus's books on understanding the Primal Diet?
2112,Did someone buy Scott's material and start sharing it?
1266,Have any primals experienced intense symptoms after consuming fermented foods?
1266,Did any primals get adverse reactions after acquiring worms from wild animals?
1266,Have there been any cases of primals experiencing symptoms after eating 'salmon vanilla'?
1266,Are there any stories from primals about their experiences with those specific foods?
1266,Has anyone shared similar experiences with intense symptoms after particular primal food choices?
3647,Is there a way to instantly end the smell of the cheese?
3647,Can cheese be stored in the fridge to reduce the smell?
3647,Does wrapping cheese in cheese cloth help with the smell?
3647,Am I just getting used to the smell of the cheese?
3647,Do you want to know about a non-stinky cheese that tastes bad?
5667,What techniques does Aajonus recommend for detoxifying the body to prevent reabsorption of toxins?
5667,How does Aajonus explain the process of re-digesting toxins if they are not detoxified?
5667,Are raw unsalted cheese and baths part of Aajonus' detoxification protocols for removing toxins?
5667,"Is there any evidence that supports the claim that toxins are neutralized and pose no danger, according to Aajonus?"
5667,Why is it believed that the body might be harmed by detoxifying toxins rather than by leaving them as they are?
4084,How can one prevent constipation on the diet discussed in the conversation?
4084,Does glass ever leach any substances if used to store rotten meat or milk for a year?
4084,What is the general opinion on the use of wigs among the conversation participants?
4084,How did following the diet affect your strength according to the conversation?
4084,What was the reaction to someone finishing up a bottle of the pill version mentioned?
4035,Why does bee pollen cause sharp stomach pains when consumed in excess?
4035,What is the connection between your tooth pain and a recent dental procedure?
4035,What specific impacts can excess bee pollen have on the stomach?
4035,Why might tooth and jaw pain persist two weeks after getting a crown?
4035,What temperature should liquids be kept at to avoid tooth pain?
568,How can I make life easier when using the product mentioned?
568,Is the model discussed considered to be in good condition?
568,Where can I find the product for a cheap price?
568,Do you need a refrigerator for storing it?
568,Is it true that the human body requires carbohydrates?
4112,Did Amos lie about shipping frozen butter and call it fresh?
4112,Is it normal for green star juice to have a considerable amount of fiber?
4112,Does Dutch Meadows freeze 100% of their butter?
4112,How can one get rid of blind pimples?
4112,Have others reported the same issue with Amos as you did?
5385,How can I stomach raw liver if I already consume raw cow's milk?
5385,What ingredients are in the toothpaste formula you mentioned?
5385,"In Europe, does everything including milk come in glass containers?"
5385,Is it safe to drink a milkshake 15 minutes after a meat meal?
5385,Do Americans have a tendency to project their challenges onto other countries?
407,What roles did hunters have in ancient societies?
407,How did farmers contribute to early civilizations?
407,What were the living conditions of poor people in early civilizations?
407,How did rich people live differently in early civilizations?
407,Who are considered our ancestors in the context of civilization?
4402,What concerns might arise if someone has cuts in their stomach or gums?
4402,How can micro cuts in the intestines affect health?
4402,Is there a method to determine if one has micro cuts in the intestines?
4402,Why is the liver considered beneficial for nutrients and minerals?
4402,Does the liver provide a good indication of potential gut health issues?
3297,Are All water bottles made from natural rubber approved by Aajonus?
3297,Does anyone else notice black or shadowy dots when looking at the sun or a bright light?
3297,Where do people typically notice shadowy spots if not looking directly at a light source?
3297,What exactly is a body scanner and can it be opted out of in the US and EU?
3297,Is there a difference between a body scanner and a metal scanner?
3954,Is it risky to leave meat out after refrigeration at around 0 degrees according to this method?
3954,"What are the reasons they hesitate to sell uncooled milk, and how can they be encouraged to do so?"
3954,"Is it problematic to have rusty mason jar lids, and what could be a solution for removing the rust?"
3954,"Do you have any recipes on how to make different types of raw cheese, possibly involving adding cream?"
3954,Could following a primal lifestyle have potentially benefited a young Indian man's health?
2379,Is castor oil considered primal for topical use?
